question,pollname,state,region,subregion,answer,percent,dem,rep
Condition of national economy,NEC,TX,South,West South Central,Good,34,74,20
Condition of national economy,NEC,TX,South,West South Central,Not good,36,30,63
Condition of national economy,NEC,TX,South,West South Central,Poor,26,13,85
Condition of national economy,NEC2,TX,South,West South Central,Good,37,76,19
Condition of national economy,NEC2,TX,South,West South Central,Poor,62,23,72
Life for the next generation of Americans will be:,LIFE,TX,South,West South Central,Better than today,36,59,38
Life for the next generation of Americans will be:,LIFE,TX,South,West South Central,Worse than today,33,17,79
Life for the next generation of Americans will be:,LIFE,TX,South,West South Central,About the same,25,52,41
Vote for president in a two-way race,2WAYPRES16,TX,South,West South Central,Clinton,40,97,0
Vote for president in a two-way race,2WAYPRES16,TX,South,West South Central,Trump,53,0,98
Vote for president in a two-way race,2WAYPRES16,TX,South,West South Central,Would not vote,4,N/A,N/A
Area type,SIZEPLC3,TX,South,West South Central,Urban area,44,53,42
Area type,SIZEPLC3,TX,South,West South Central,Suburban area,48,37,58
Area type,SIZEPLC3,TX,South,West South Central,Rural area,8,26,71
Region,GEOCOD,TX,South,West South Central,East,13,25,71
Region,GEOCOD,TX,South,West South Central,Dallas / Ft. Worth,24,49,47
Region,GEOCOD,TX,South,West South Central,Houston,21,50,46
Region,GEOCOD,TX,South,West South Central,S. Central,16,45,50
Region,GEOCOD,TX,South,West South Central,West,11,22,74
Region,GEOCOD,TX,South,West South Central,Latino Southwest,15,54,41
