question,pollname,state,region,subregion,answer,percent,dem,rep
Opinion of Barack Obama,FAVOBAMA2,CT,Northeast,New England,Favorable,58,95,5
Opinion of Barack Obama,FAVOBAMA2,CT,Northeast,New England,Unfavorable,41,5,92
Opinion of Mitt Romney,FAVROMN2,CT,Northeast,New England,Favorable,43,13,86
Opinion of Mitt Romney,FAVROMN2,CT,Northeast,New England,Unfavorable,54,92,6
Opinion of Presidential Candidate You Voted For,DESCRIBP12,CT,Northeast,New England,Strongly Favor,72,62,37
Opinion of Presidential Candidate You Voted For,DESCRIBP12,CT,Northeast,New England,Have Reservations,21,55,44
Opinion of Presidential Candidate You Voted For,DESCRIBP12,CT,Northeast,New England,Dislike Opponent,6,N/A,N/A
When Did You Decide Presidential Vote?,TIME12,CT,Northeast,New England,Just Today,5,N/A,N/A
When Did You Decide Presidential Vote?,TIME12,CT,Northeast,New England,Last Few Days,8,N/A,N/A
When Did You Decide Presidential Vote?,TIME12,CT,Northeast,New England,In October,7,N/A,N/A
When Did You Decide Presidential Vote?,TIME12,CT,Northeast,New England,In September,8,N/A,N/A
When Did You Decide Presidential Vote?,TIME12,CT,Northeast,New England,Before That,72,62,37
When Did You Decide Presidential Vote?,TIME12FEWD,CT,Northeast,New England,Today/Last Few Days,13,50,46
When Did You Decide Presidential Vote?,TIME12FEWD,CT,Northeast,New England,Before That,87,60,39
When Did You Decide Presidential Vote?,TIME12MTH,CT,Northeast,New England,In October or November,20,51,46
When Did You Decide Presidential Vote?,TIME12MTH,CT,Northeast,New England,Before That,80,61,38
Vote by Marital Status,MARRIED,CT,Northeast,New England,Married,64,54,45
Vote by Marital Status,MARRIED,CT,Northeast,New England,Unmarried,36,65,33
Vote by Gender and Marital Status,SEXWED,CT,Northeast,New England,Married Men,32,48,51
Vote by Gender and Marital Status,SEXWED,CT,Northeast,New England,Married Women,32,60,39
Vote by Gender and Marital Status,SEXWED,CT,Northeast,New England,Unmarried Men,15,60,36
Vote by Gender and Marital Status,SEXWED,CT,Northeast,New England,Unmarried Women,21,69,30
Any Children Under 18 Living in Your Home?,CHILD12,CT,Northeast,New England,Yes,36,57,41
Any Children Under 18 Living in Your Home?,CHILD12,CT,Northeast,New England,No,64,59,40
Vote by Marital Status and Children,MARCHILD,CT,Northeast,New England,Married With Children,26,51,48
Vote by Marital Status and Children,MARCHILD,CT,Northeast,New England,All Others,74,61,38
Vote by Gender and Children in Household,PARENTS,CT,Northeast,New England,Fathers,18,51,47
Vote by Gender and Children in Household,PARENTS,CT,Northeast,New England,Mothers,18,64,35
Vote by Gender and Children in Household,PARENTS,CT,Northeast,New England,Men With No Children,31,54,44
Vote by Gender and Children in Household,PARENTS,CT,Northeast,New England,Women With No Children,33,64,36
Do You Work Full-Time For Pay?,WORK,CT,Northeast,New England,Yes,63,58,41
Do You Work Full-Time For Pay?,WORK,CT,Northeast,New England,No,37,57,40
Vote for Senate,SENCT12,CT,Northeast,New England,Murphy,55,93,6
Vote for Senate,SENCT12,CT,Northeast,New England,McMahon,44,14,85
Vote by Size of Place,SIZEPLC3,CT,Northeast,New England,Urban,15,73,25
Vote by Size of Place,SIZEPLC3,CT,Northeast,New England,Suburban,78,55,43
Vote by Size of Place,SIZEPLC3,CT,Northeast,New England,Rural,6,49,49
Vote by Region,GEOCOD,CT,Northeast,New England,New York Suburbs,26,60,39
Vote by Region,GEOCOD,CT,Northeast,New England,Hartford Area,36,61,37
Vote by Region,GEOCOD,CT,Northeast,New England,Eastern Connecticut,17,55,44
Vote by Region,GEOCOD,CT,Northeast,New England,Western Connecticut,21,51,48
