question,pollname,state,region,subregion,answer,percent,dem,rep
Opinion of presidential candidate you voted for,DESCRIBP12,NJ,Northeast,Middle Atlantic,Dislike opponents,18,46,45
Most important issue facing the country,ISSUE16,NJ,Northeast,Middle Atlantic,Foreign policy,10,73,22
Most important issue facing the country,ISSUE16,NJ,Northeast,Middle Atlantic,Immigration,13,35,63
Most important issue facing the country,ISSUE16,NJ,Northeast,Middle Atlantic,Economy,54,59,37
Most important issue facing the country,ISSUE16,NJ,Northeast,Middle Atlantic,Terrorism,19,46,53
Which candidate quality mattered most?,QLT16,NJ,Northeast,Middle Atlantic,Cares about me,15,62,36
Which candidate quality mattered most?,QLT16,NJ,Northeast,Middle Atlantic,Can bring change,41,19,78
Which candidate quality mattered most?,QLT16,NJ,Northeast,Middle Atlantic,Right experience,25,92,6
Which candidate quality mattered most?,QLT16,NJ,Northeast,Middle Atlantic,Good judgment,15,78,15
Opinion of Hillary Clinton,FAVHCLIN16,NJ,Northeast,Middle Atlantic,Favorable,48,95,5
Opinion of Hillary Clinton,FAVHCLIN16,NJ,Northeast,Middle Atlantic,Unfavorable,50,14,80
Opinion of Donald Trump,FAVTRUMP,NJ,Northeast,Middle Atlantic,Favorable,35,3,96
Opinion of Donald Trump,FAVTRUMP,NJ,Northeast,Middle Atlantic,Unfavorable,64,82,13
Opinion of Clinton and Trump,FAVPRES16,NJ,Northeast,Middle Atlantic,Both favorable,1,N/A,N/A
Opinion of Clinton and Trump,FAVPRES16,NJ,Northeast,Middle Atlantic,Only Clinton favorable,47,96,3
Opinion of Clinton and Trump,FAVPRES16,NJ,Northeast,Middle Atlantic,Only Trump favorable,34,1,97
Opinion of Clinton and Trump,FAVPRES16,NJ,Northeast,Middle Atlantic,Both unfavorable,16,40,43
Is Hillary Clinton honest and trustworthy?,CLINHONEST,NJ,Northeast,Middle Atlantic,Yes,38,97,3
Is Hillary Clinton honest and trustworthy?,CLINHONEST,NJ,Northeast,Middle Atlantic,No,61,28,67
Is Donald Trump honest and trustworthy?,TRUMPHONEST,NJ,Northeast,Middle Atlantic,Yes,34,5,93
Is Donald Trump honest and trustworthy?,TRUMPHONEST,NJ,Northeast,Middle Atlantic,No,65,80,16
Which candidate is honest?,HONEST16,NJ,Northeast,Middle Atlantic,Both are,2,N/A,N/A
Which candidate is honest?,HONEST16,NJ,Northeast,Middle Atlantic,Only Clinton is,36,97,3
Which candidate is honest?,HONEST16,NJ,Northeast,Middle Atlantic,Only Trump is,32,1,97
Which candidate is honest?,HONEST16,NJ,Northeast,Middle Atlantic,Neither is,28,58,32
Opinion of Chris Christie as governor,CHRISTIEAPP2,NJ,Northeast,Middle Atlantic,Approve,25,29,69
Opinion of Chris Christie as governor,CHRISTIEAPP2,NJ,Northeast,Middle Atlantic,Disapprove,72,63,33
Worried about terrorist attack in U.S.?,TERRWORR,NJ,Northeast,Middle Atlantic,Very worried,38,41,57
Worried about terrorist attack in U.S.?,TERRWORR,NJ,Northeast,Middle Atlantic,Somewhat worried,44,58,37
Worried about terrorist attack in U.S.?,TERRWORR,NJ,Northeast,Middle Atlantic,Not too worried,15,69,27
Worried about terrorist attack in U.S.?,TERRWORR,NJ,Northeast,Middle Atlantic,Not at all worried,2,N/A,N/A
Worried about terrorist attack in U.S.?,TERWORR2,NJ,Northeast,Middle Atlantic,Yes,82,50,47
Worried about terrorist attack in U.S.?,TERWORR2,NJ,Northeast,Middle Atlantic,No,17,68,27
Life for the next generation of Americans will be:,LIFE,NJ,Northeast,Middle Atlantic,Better than today,36,63,35
Life for the next generation of Americans will be:,LIFE,NJ,Northeast,Middle Atlantic,Worse than today,32,37,58
Life for the next generation of Americans will be:,LIFE,NJ,Northeast,Middle Atlantic,About the same,29,62,35
Region,GEOCOD,NJ,Northeast,Middle Atlantic,Urban North,20,73,24
Region,GEOCOD,NJ,Northeast,Middle Atlantic,Suburban North,16,54,44
Region,GEOCOD,NJ,Northeast,Middle Atlantic,Northwest,16,45,51
Region,GEOCOD,NJ,Northeast,Middle Atlantic,Central,20,54,43
Region,GEOCOD,NJ,Northeast,Middle Atlantic,South,29,48,48
