question,pollname,state,region,subregion,answer,percent,dem,rep
Education among whites by sex,EDUCWHITEBYSEX,KY,South,East South Central,White non-college men,26,18,80
Education among whites by sex,EDUCWHITEBYSEX,KY,South,East South Central,Non-whites,13,74,18
Income,INCOME16GEN,KY,South,East South Central,"Under $30,000",17,36,55
Income,INCOME16GEN,KY,South,East South Central,"$30K-$49,999",23,33,60
Income,INCOME16GEN,KY,South,East South Central,"$50K-$99,999",33,32,65
Income,INCOME16GEN,KY,South,East South Central,"$100K-$199,999",21,27,71
Income,INCOME16GEN,KY,South,East South Central,"$200K-$249,999",3,N/A,N/A
Income,INCOME16GEN,KY,South,East South Central,"$250,000 or more",2,N/A,N/A
Income,INCOME3,KY,South,East South Central,Under $50K,41,34,58
Income,INCOME3,KY,South,East South Central,$50K-$100K,33,32,65
Income,INCOME3,KY,South,East South Central,$100K or more,26,30,68
Income,INC50K,KY,South,East South Central,Under $50K,41,34,58
Income,INC50K,KY,South,East South Central,$50K or more,59,31,66
Income,INC100K,KY,South,East South Central,Under $100K,74,33,61
Income,INC100K,KY,South,East South Central,$100K or more,26,30,68
Party ID,PARTY,KY,South,East South Central,Democrats,38,75,22
Party ID,PARTY,KY,South,East South Central,Republicans,45,3,93
Party ID,PARTY,KY,South,East South Central,Independents,18,23,67
Party by gender,PARTYGENDER,KY,South,East South Central,Democratic men,14,75,23
Party by gender,PARTYGENDER,KY,South,East South Central,Democratic women,24,75,21
Party by gender,PARTYGENDER,KY,South,East South Central,Republican men,25,2,96
Party by gender,PARTYGENDER,KY,South,East South Central,Republican women,20,4,90
Party by gender,PARTYGENDER,KY,South,East South Central,Independent men,9,N/A,N/A
Party by gender,PARTYGENDER,KY,South,East South Central,Independent women,9,N/A,N/A
Ideology,PHIL3,KY,South,East South Central,Liberal,18,79,17
Ideology,PHIL3,KY,South,East South Central,Moderate,38,38,55
Ideology,PHIL3,KY,South,East South Central,Conservative,43,11,86
White born-again or evangelical Christian?,WHTEVANG,KY,South,East South Central,Yes,53,17,79
White born-again or evangelical Christian?,WHTEVANG,KY,South,East South Central,No,47,49,45
Marital status,MARRIED,KY,South,East South Central,Married,65,26,70
Marital status,MARRIED,KY,South,East South Central,Unmarried,35,41,52
Marital status by gender,SEXWED,KY,South,East South Central,Married men,32,23,74
Marital status by gender,SEXWED,KY,South,East South Central,Married women,34,29,66
Marital status by gender,SEXWED,KY,South,East South Central,Unmarried men,15,30,68
Marital status by gender,SEXWED,KY,South,East South Central,Unmarried women,20,50,40
Coal-industry household?,COALHH,KY,South,East South Central,Yes,8,N/A,N/A
Coal-industry household?,COALHH,KY,South,East South Central,No,92,33,62
When did you decide presidential vote?,TIME16,KY,South,East South Central,Last few days,13,24,66
When did you decide presidential vote?,TIME16,KY,South,East South Central,Last week,5,N/A,N/A
When did you decide presidential vote?,TIME16,KY,South,East South Central,In October,11,N/A,N/A
When did you decide presidential vote?,TIME16,KY,South,East South Central,In September,6,N/A,N/A
When did you decide presidential vote?,TIME16,KY,South,East South Central,Before September,65,32,66
When did you decide presidential vote?,TIME16WEEK,KY,South,East South Central,In the last week,17,28,61
When did you decide presidential vote?,TIME16WEEK,KY,South,East South Central,Before that,82,30,67
When did you decide presidential vote?,TIME16MONTH,KY,South,East South Central,In the last month,28,27,63
When did you decide presidential vote?,TIME16MONTH,KY,South,East South Central,Before that,71,31,67
Opinion of presidential candidate you voted for,DESCRIBP12,KY,South,East South Central,Strongly favor ,46,35,60
Opinion of presidential candidate you voted for,DESCRIBP12,KY,South,East South Central,Have reservations,29,34,66
Opinion of presidential candidate you voted for,DESCRIBP12,KY,South,East South Central,Dislike opponents,24,22,67
Most important issue facing the country,ISSUE16,KY,South,East South Central,Foreign policy,10,N/A,N/A
Most important issue facing the country,ISSUE16,KY,South,East South Central,Immigration,14,9,90
Most important issue facing the country,ISSUE16,KY,South,East South Central,Economy,52,40,55
Most important issue facing the country,ISSUE16,KY,South,East South Central,Terrorism,21,24,72
Which candidate quality mattered most?,QLT16,KY,South,East South Central,Cares about me,15,36,56
Which candidate quality mattered most?,QLT16,KY,South,East South Central,Can bring change,54,9,87
Which candidate quality mattered most?,QLT16,KY,South,East South Central,Right experience,15,90,8
Which candidate quality mattered most?,QLT16,KY,South,East South Central,Good judgment,12,57,35
Opinion of Hillary Clinton,FAVHCLIN16,KY,South,East South Central,Favorable,28,97,1
Opinion of Hillary Clinton,FAVHCLIN16,KY,South,East South Central,Unfavorable,71,4,90
Opinion of Donald Trump,FAVTRUMP,KY,South,East South Central,Favorable,53,2,98
Opinion of Donald Trump,FAVTRUMP,KY,South,East South Central,Unfavorable,45,65,25
Opinion of Clinton and Trump,FAVPRES16,KY,South,East South Central,Both favorable,1,N/A,N/A
Opinion of Clinton and Trump,FAVPRES16,KY,South,East South Central,Only Clinton favorable,27,98,0
Opinion of Clinton and Trump,FAVPRES16,KY,South,East South Central,Only Trump favorable,53,0,100
Opinion of Clinton and Trump,FAVPRES16,KY,South,East South Central,Both unfavorable,18,15,61
Is Hillary Clinton honest and trustworthy?,CLINHONEST,KY,South,East South Central,Yes,23,99,1
Is Hillary Clinton honest and trustworthy?,CLINHONEST,KY,South,East South Central,No,75,11,83
Is Donald Trump honest and trustworthy?,TRUMPHONEST,KY,South,East South Central,Yes,47,3,97
Is Donald Trump honest and trustworthy?,TRUMPHONEST,KY,South,East South Central,No,51,61,30
Which candidate is honest?,HONEST16,KY,South,East South Central,Both are,1,N/A,N/A
Which candidate is honest?,HONEST16,KY,South,East South Central,Only Clinton is,22,99,N/A
Which candidate is honest?,HONEST16,KY,South,East South Central,Only Trump is,46,0,99
Which candidate is honest?,HONEST16,KY,South,East South Central,Neither is,28,29,54
Life for the next generation of Americans will be:,LIFE,KY,South,East South Central,Better than today,37,42,56
Life for the next generation of Americans will be:,LIFE,KY,South,East South Central,Worse than today,33,16,77
Life for the next generation of Americans will be:,LIFE,KY,South,East South Central,About the same,27,38,56
Area type,SIZEPLC3,KY,South,East South Central,Urban area,28,51,43
Area type,SIZEPLC3,KY,South,East South Central,Suburban area,11,N/A,N/A
Area type,SIZEPLC3,KY,South,East South Central,Rural area,61,27,70
Region,GEOCOD,KY,South,East South Central,Eastern Kentucky,20,19,78
Region,GEOCOD,KY,South,East South Central,Bluegrass Country,18,39,56
Region,GEOCOD,KY,South,East South Central,North / Louisville Sub.,17,28,66
Region,GEOCOD,KY,South,East South Central,Jefferson County,19,55,40
Region,GEOCOD,KY,South,East South Central,Western Kentucky,27,27,69
