Question,Answer,Percentage of Electorate,Clinton,Sanders
,Neither,9,N/A,N/A
Does Clinton share your values?,,,,
,Yes,71,89,10
,No,27,14,80
Does Sanders share your values?,,,,
,Yes,57,56,43
,No,42,86,11
Who is honest and trustworthy?,,,,
,Only Clinton,25,N/A,N/A
,Only Sanders,20,2,98
,Both,38,89,11
,Neither,15,N/A,N/A
Is Clinton honest and trustworthy?,,,,
,Yes,64,93,7
,No,35,25,70
Is Sanders honest and trustworthy?,,,,
,Yes,58,59,41
,No,40,83,13
Who do you trust in an international crisis?,,,,
,Only Clinton,49,95,5
,Only Sanders,9,N/A,N/A
,Both,30,58,42
,Neither,10,N/A,N/A
Trust Clinton in an international crisis?,,,,
,Yes,79,81,19
,No,19,N/A,N/A
Trust Sanders in an international crisis?,,,,
,Yes,39,45,55
,No,59,85,11
Who do you trust to handle race relations?,,,,
,Only Clinton,35,99,1
,Only Sanders,17,N/A,N/A
,Both,36,74,26
,Neither,10,N/A,N/A
Trust Clinton to handle race relations?,,,,
,Yes,70,86,14
,No,28,22,70
Trust Sanders to handle race relations?,,,,
,Yes,53,54,46
,No,45,85,10
Race relations in this country have:,,,,
,Gotten better,12,N/A,N/A
,Stayed the same,40,72,27
,Gotten worse,47,63,34
Did either candidate attack the other unfairly?,,,,
,Only Clinton did,12,N/A,N/A
,Only Sanders did,6,N/A,N/A
,Both did,25,N/A,N/A
,Neither did,51,76,23
Did Clinton attack Sanders unfairly?,,,,
,Yes,37,57,41
,No,57,78,21
Did Sanders attack Clinton unfairly?,,,,
,Yes,31,75,23
,No,63,67,33
Better handle Supreme Court nominations?,,,,
,Clinton,70,95,4
,Sanders,28,8,90
The next president should:,,,,
,Continue Obama's policies,49,86,14
,Be more liberal,28,49,50
,Be less liberal,17,N/A,N/A
U.S. economic system generally:,,,,
,Favors the wealthy,80,68,31
,Is fair to most Americans,17,N/A,N/A
Worried about U.S. economy?,,,,
,Very worried,46,59,38
,Somewhat worried,34,72,27
,Not too worried,15,N/A,N/A
,Not at all worried,4,N/A,N/A
Worried about U.S. economy?,,,,
,Yes,80,65,33
,No,19,N/A,N/A
Feelings about the federal government,,,,
,Enthusiastic,5,N/A,N/A
,Satisfied,29,85,15
,Dissatisfied,44,67,31
,Angry,20,N/A,N/A
Feelings about the federal government,,,,
,Enthusiastic/Satisfied,35,87,13
,Dissatisfied/Angry,64,59,38
Next president should be:,,,,
,Experienced in politics,85,75,24
,Outside the establishment,13,N/A,N/A
Satisfied if Clinton wins the nomination?,,,,
,Yes,76,88,12
,No,23,N/A,N/A
Satisfied if Sanders wins the nomination?,,,,
,Yes,50,46,54
,No,44,92,3
Clinton's positions on the issues are:,,,,
,Too liberal,12,N/A,N/A
,Not liberal enough,16,N/A,N/A
,About right,67,86,14
Sanders' positions on the issues are:,,,,
,Too liberal,33,86,9
,Not liberal enough,15,N/A,N/A
,About right,43,46,54
When did you decide whom to vote for?,,,,
,Just today,10,N/A,N/A
,In the last few days,5,N/A,N/A
,Sometime last week,7,N/A,N/A
,In the last month,14,N/A,N/A
,Before that,62,74,26
When did you decide whom to vote for?,,,,
,Last few days,16,N/A,N/A
,Earlier,83,72,27
When did you decide whom to vote for?,,,,
,In the last week,23,61,33
,Earlier,76,71,28
Area type,,,,
,Urban area,34,73,27
,Suburban area,24,58,40
,Rural area,41,72,24
Region,,,,
,East,25,73,22
,North Central,14,70,30
,Pulaski County,21,78,22
,Northwest,26,58,41
,Southwest,15,68,28
