question,pollname,state,region,subregion,answer,percentage of electorate,clinton,sanders
Satisfied if Sanders wins the nomination?,SATSANDERS,GA,South,South Atlantic,Yes,62,58,41
Satisfied if Sanders wins the nomination?,SATSANDERS,GA,South,South Atlantic,No,34,95,4
Clinton's positions on the issues are:,CLINTONLIB,GA,South,South Atlantic,Too liberal,6,N/A,N/A
Clinton's positions on the issues are:,CLINTONLIB,GA,South,South Atlantic,Not liberal enough,17,22,78
Clinton's positions on the issues are:,CLINTONLIB,GA,South,South Atlantic,About right,75,86,14
Sanders' positions on the issues are:,SANDERSLIB,GA,South,South Atlantic,Too liberal,26,90,9
Sanders' positions on the issues are:,SANDERSLIB,GA,South,South Atlantic,Not liberal enough,17,96,4
Sanders' positions on the issues are:,SANDERSLIB,GA,South,South Atlantic,About right,50,52,48
When did you decide whom to vote for?,TIMENH16,GA,South,South Atlantic,Just today,10,N/A,N/A
When did you decide whom to vote for?,TIMENH16,GA,South,South Atlantic,In the last few days,7,N/A,N/A
When did you decide whom to vote for?,TIMENH16,GA,South,South Atlantic,Sometime last week,5,N/A,N/A
When did you decide whom to vote for?,TIMENH16,GA,South,South Atlantic,In the last month,16,66,32
When did you decide whom to vote for?,TIMENH16,GA,South,South Atlantic,Before that,61,74,26
When did you decide whom to vote for?,TIMEPRIFEWDAYS,GA,South,South Atlantic,Last few days,16,73,26
When did you decide whom to vote for?,TIMEPRIFEWDAYS,GA,South,South Atlantic,Earlier,82,72,27
When did you decide whom to vote for?,TIMEPRIWK,GA,South,South Atlantic,In the last week,21,72,27
When did you decide whom to vote for?,TIMEPRIWK,GA,South,South Atlantic,Earlier,77,72,27
Area type,SIZEPLC3,GA,South,South Atlantic,Urban area,16,71,28
Area type,SIZEPLC3,GA,South,South Atlantic,Suburban area,64,71,28
Area type,SIZEPLC3,GA,South,South Atlantic,Rural area,20,77,23
Region,GEOCOD,GA,South,South Atlantic,North,11,64,36
Region,GEOCOD,GA,South,South Atlantic,Atlanta Suburbs,22,66,34
Region,GEOCOD,GA,South,South Atlantic,Atlanta Metro,34,74,25
Region,GEOCOD,GA,South,South Atlantic,Central,19,79,19
Region,GEOCOD,GA,South,South Atlantic,Coast/South,13,75,25
