question,pollname,state,region,subregion,answer,percentage of electorate,clinton,sanders
Income,INCOME3,MS,South,East South Central,Under $50K,64,83,16
Income,INCOME3,MS,South,East South Central,$50K-$100K,24,80,20
Income,INCOME3,MS,South,East South Central,$100K or more,12,89,9
Ever voted in a Democratic presidential primary?,PREVPRIDEM,MS,South,East South Central,Voted before,91,85,14
Ever voted in a Democratic presidential primary?,PREVPRIDEM,MS,South,East South Central,First-time voter,7,N/A,N/A
Party ID,PARTY,MS,South,East South Central,Democrats,86,87,12
Party ID,PARTY,MS,South,East South Central,Republicans,2,N/A,N/A
Party ID,PARTY,MS,South,East South Central,Independents,13,66,34
Ideology,PHIL4,MS,South,East South Central,Very liberal,27,80,20
Ideology,PHIL4,MS,South,East South Central,Somewhat liberal,24,82,18
Ideology,PHIL4,MS,South,East South Central,Moderate,40,86,14
Ideology,PHIL4,MS,South,East South Central,Conservative,10,N/A,N/A
Ideology,PHIL3X,MS,South,East South Central,Liberal,51,81,19
Ideology,PHIL3X,MS,South,East South Central,Moderate,40,86,14
Ideology,PHIL3X,MS,South,East South Central,Conservative,10,N/A,N/A
Ideology ,PHIL2D,MS,South,East South Central,Liberal,51,81,19
Ideology ,PHIL2D,MS,South,East South Central,Moderate/Conservative,49,85,13
Attend religious services:,ATTEND,MS,South,East South Central,More than once a week,35,89,8
Attend religious services:,ATTEND,MS,South,East South Central,Once a week,27,85,14
Attend religious services:,ATTEND,MS,South,East South Central,A few times a month,15,N/A,N/A
Attend religious services:,ATTEND,MS,South,East South Central,A few times a year,14,N/A,N/A
Attend religious services:,ATTEND,MS,South,East South Central,Never,8,N/A,N/A
Attend religious services:,ATTEND2,MS,South,East South Central,Weekly,62,87,11
Attend religious services:,ATTEND2,MS,South,East South Central,Occasionally,29,79,21
Attend religious services:,ATTEND2,MS,South,East South Central,Never,8,N/A,N/A
Marital status,MARRIED,MS,South,East South Central,Married,51,87,12
Marital status,MARRIED,MS,South,East South Central,Unmarried,49,81,18
Marital status and gender,SEXWED,MS,South,East South Central,Married men,24,86,12
Marital status and gender,SEXWED,MS,South,East South Central,Married women,27,88,12
Marital status and gender,SEXWED,MS,South,East South Central,Unmarried men,12,N/A,N/A
Marital status and gender,SEXWED,MS,South,East South Central,Unmarried women,36,86,14
Most important issue,ISSDEM16,MS,South,East South Central,Health care,24,84,15
Most important issue,ISSDEM16,MS,South,East South Central,Economy/Jobs,43,85,15
Most important issue,ISSDEM16,MS,South,East South Central,Terrorism,10,N/A,N/A
Most important issue,ISSDEM16,MS,South,East South Central,Income inequality,19,78,22
Top candidate quality,QLT16DEMPRI,MS,South,East South Central,Electability,11,95,5
Top candidate quality,QLT16DEMPRI,MS,South,East South Central,Cares,30,77,23
Top candidate quality,QLT16DEMPRI,MS,South,East South Central,Honest,23,73,26
Top candidate quality,QLT16DEMPRI,MS,South,East South Central,Experience,33,93,7
Trade with other countries:,TRADE16,MS,South,East South Central,Creates U.S. jobs,43,86,12
Trade with other countries:,TRADE16,MS,South,East South Central,Takes away U.S. jobs,41,84,16
Trade with other countries:,TRADE16,MS,South,East South Central,Does not affect jobs,12,N/A,N/A
Who would you trust to handle the economy?,ECONDEM16,MS,South,East South Central,Only Clinton,53,99,0
Who would you trust to handle the economy?,ECONDEM16,MS,South,East South Central,Only Sanders,7,N/A,N/A
Who would you trust to handle the economy?,ECONDEM16,MS,South,East South Central,Both,33,79,21
Who would you trust to handle the economy?,ECONDEM16,MS,South,East South Central,Neither,4,N/A,N/A
Trust Clinton to handle economy?,ECONDEMCLIN,MS,South,East South Central,Yes,87,91,8
Trust Clinton to handle economy?,ECONDEMCLIN,MS,South,East South Central,No,11,N/A,N/A
Trust Sanders to handle economy?,ECONDEMSANDERS,MS,South,East South Central,Yes,40,66,33
Trust Sanders to handle economy?,ECONDEMSANDERS,MS,South,East South Central,No,57,96,2
Who do you trust to handle race relations?,RACERELDEM16,MS,South,East South Central,Only Clinton,52,99,1
Who do you trust to handle race relations?,RACERELDEM16,MS,South,East South Central,Only Sanders,8,N/A,N/A
Who do you trust to handle race relations?,RACERELDEM16,MS,South,East South Central,Both,34,82,18
Who do you trust to handle race relations?,RACERELDEM16,MS,South,East South Central,Neither,5,N/A,N/A
Trust Clinton to handle race relations?,RACERELCLIN,MS,South,East South Central,Yes,86,92,7
Trust Clinton to handle race relations?,RACERELCLIN,MS,South,East South Central,No,12,N/A,N/A
Trust Sanders to handle race relations?,RACERELSANDERS,MS,South,East South Central,Yes,42,70,29
Trust Sanders to handle race relations?,RACERELSANDERS,MS,South,East South Central,No,56,95,3
Race relations in this country have:,RACEREL14,MS,South,East South Central,Gotten better,17,N/A,N/A
Race relations in this country have:,RACEREL14,MS,South,East South Central,Stayed the same,32,89,11
Race relations in this country have:,RACEREL14,MS,South,East South Central,Gotten worse,49,80,18
The next president should:,OBAMAPLCY,MS,South,East South Central,Continue Obama's policies,71,88,12
The next president should:,OBAMAPLCY,MS,South,East South Central,Be more liberal,19,N/A,N/A
The next president should:,OBAMAPLCY,MS,South,East South Central,Be less liberal,9,N/A,N/A
U.S. economic system generally:,ECONFAIR,MS,South,East South Central,Favors the wealthy,78,80,20
U.S. economic system generally:,ECONFAIR,MS,South,East South Central,Is fair to most Americans,18,N/A,N/A
Worried about U.S. economy?,ECONWORR,MS,South,East South Central,Very worried,50,80,19
Worried about U.S. economy?,ECONWORR,MS,South,East South Central,Somewhat worried,32,81,19
Worried about U.S. economy?,ECONWORR,MS,South,East South Central,Not too worried,11,N/A,N/A
Worried about U.S. economy?,ECONWORR,MS,South,East South Central,Not at all worried,6,N/A,N/A
Worried about U.S. economy?,ECOWORR2,MS,South,East South Central,Yes,82,81,19
Worried about U.S. economy?,ECOWORR2,MS,South,East South Central,No,17,N/A,N/A
Feelings about the federal government,GOVTANGR16,MS,South,East South Central,Enthusiastic,8,N/A,N/A
Feelings about the federal government,GOVTANGR16,MS,South,East South Central,Satisfied,34,89,11
Feelings about the federal government,GOVTANGR16,MS,South,East South Central,Dissatisfied,43,79,21
Feelings about the federal government,GOVTANGR16,MS,South,East South Central,Angry,12,N/A,N/A
Feelings about the federal government,GOVTANGR16B,MS,South,East South Central,Enthusiastic/Satisfied,42,89,11
Feelings about the federal government,GOVTANGR16B,MS,South,East South Central,Dissatisfied/Angry,56,76,24
Next president should be:,OUTSIDER16,MS,South,East South Central,Experienced in politics,87,85,15
Next president should be:,OUTSIDER16,MS,South,East South Central,Outside the establishment,11,N/A,N/A
Clinton's positions on the issues are:,CLINTONLIB,MS,South,East South Central,Too liberal,9,N/A,N/A
Clinton's positions on the issues are:,CLINTONLIB,MS,South,East South Central,Not liberal enough,10,N/A,N/A
Clinton's positions on the issues are:,CLINTONLIB,MS,South,East South Central,About right,79,93,6
Sanders' positions on the issues are:,SANDERSLIB,MS,South,East South Central,Too liberal,27,94,3
Sanders' positions on the issues are:,SANDERSLIB,MS,South,East South Central,Not liberal enough,24,95,5
Sanders' positions on the issues are:,SANDERSLIB,MS,South,East South Central,About right,43,71,28
Is Hillary Clinton honest and trustworthy?,CLINHONEST,MS,South,East South Central,Yes,80,94,6
Is Hillary Clinton honest and trustworthy?,CLINHONEST,MS,South,East South Central,No,18,28,72
Is Bernie Sanders honest and trustworthy?,SANDHONEST,MS,South,East South Central,Yes,66,75,25
Is Bernie Sanders honest and trustworthy?,SANDHONEST,MS,South,East South Central,No,27,95,5
Hillary Clinton's views on business are:,CLINBUSINESS,MS,South,East South Central,Too pro-business,16,N/A,N/A
Hillary Clinton's views on business are:,CLINBUSINESS,MS,South,East South Central,Too anti-business,6,N/A,N/A
Hillary Clinton's views on business are:,CLINBUSINESS,MS,South,East South Central,About right,76,91,9
Bernie Sanders' views on business are:,SANDBUSINESS,MS,South,East South Central,Too pro-business,20,91,9
Bernie Sanders' views on business are:,SANDBUSINESS,MS,South,East South Central,Too anti-business,30,93,7
Bernie Sanders' views on business are:,SANDBUSINESS,MS,South,East South Central,About right,44,67,33
Hillary Clinton's policies are:,CLINREALISTIC,MS,South,East South Central,Realistic,89,91,9
Hillary Clinton's policies are:,CLINREALISTIC,MS,South,East South Central,Not realistic,9,N/A,N/A
Bernie Sanders' policies are:,SANDREALISTIC,MS,South,East South Central,Realistic,45,69,30
Bernie Sanders' policies are:,SANDREALISTIC,MS,South,East South Central,Not realistic,46,96,2
When did you decide whom to vote for?,TIMENH16,MS,South,East South Central,Just today,8,N/A,N/A
When did you decide whom to vote for?,TIMENH16,MS,South,East South Central,In the last few days,8,N/A,N/A
When did you decide whom to vote for?,TIMENH16,MS,South,East South Central,Sometime last week,5,N/A,N/A
When did you decide whom to vote for?,TIMENH16,MS,South,East South Central,In the last month,12,N/A,N/A
When did you decide whom to vote for?,TIMENH16,MS,South,East South Central,Before that,67,84,16
When did you decide whom to vote for?,TIMEPRIFEWDAYS,MS,South,East South Central,Last few days,16,N/A,N/A
When did you decide whom to vote for?,TIMEPRIFEWDAYS,MS,South,East South Central,Earlier,84,83,17
When did you decide whom to vote for?,TIMEPRIWK,MS,South,East South Central,In the last week,20,78,22
When did you decide whom to vote for?,TIMEPRIWK,MS,South,East South Central,Earlier,79,83,17
Area type,SIZEPLC3,MS,South,East South Central,Urban area,31,86,13
Area type,SIZEPLC3,MS,South,East South Central,Suburban area,26,78,21
Area type,SIZEPLC3,MS,South,East South Central,Rural area,43,84,15
Region,GEOCOD,MS,South,East South Central,Jackson/Delta,45,86,13
Region,GEOCOD,MS,South,East South Central,Southeast,30,80,20
Region,GEOCOD,MS,South,East South Central,Northeast,25,82,18
